Pandal Name,Address,"Lat, Long",Nearest Metro,Rating (2025),Zone,Category
Babathakurtala Puja Committee,"56, Amritlal Mukherjee Rd, Natore Colony, Paschim Barisha, Kolkata, West Bengal 700008","22.475104, 88.303201",Sakherbazar,4.7,South,Famous-for-lighting
Nawpara Dadabhai Sangha,"79 AK Mukherjee Rd, Noapara, Baranagar 700090","22.641670, 88.388657",Noapara,4.5,North,Award-winner
Manasbag Sarbojanin Durgotsab,"Sporting Club & Library, Manasbag, Belghoria, Landmark B.T Rd, Kolkata, West Bengal 700056","22.665947, 88.376666",Baranagar,4.5,Others,Award-winner
Entally Matribhumi Durga Puja Samity,"5, Uria Para Ln, Entally, Kolkata 700014","22.558549, 88.367400",Sealdah,4.6,East,Traditional
Lake Yuba Sangha,"19. Lake Place Rd. Lake Market, Kalighat, Kolkata 700029","22.514544, 88.349913",Kalighat,4.7,South,Famous-for-lighting
Bosepukur Parijat Club,"162, Bose Pukur Rd, Bosepukur, Kasba, Kolkata 700039","22.523362, 88.382328",VIP Bazar,4.6,East,Traditional
Goabagan Sarodatsav Sammilani,"Goabagan St. Manicktala, Kolkata 700006","22.590054, 88.371844",Satyajit Ray,4.6,South,Traditional
Goabagan Sarbojanin Durgotsab,"GOABAGAN SARBOJANIN DURGOTSAB, Kolkata (FFD Member 2025)","22.594386, 88.372000",Girish Park / Shobhabazar Sutanuti,4.5,North,Award-winner
Dakshin Purbachal Sarbojanin Durgotsav Comm Udayan Sangha,"13 Dakshin Purbachal Hospital Rd. Kalikapur Rd, South Purbachal, Haltu. Kolkata 700078","22.502484, 88.391667",Masterda Surya Sen / Gitanjali,4.9,South,Award-winner
Sarir Sangathan Samity,"SARIR SANGATHAN SAMITY, Kolkata (FFD Member 2025)","22.574354, 88.362873",Salt Lake Sector V/Phoolbagan Metro,4.7,South,Famous-for-lighting
Ak Block Association Salt Lake,"AK-199, AK Block, Sector 2, Bidhannagar, Kolkata 700091","22.588562, 88.431229",Salt Lake Sector-V / Karunamoyee,4.7,East,Famous-for-lighting
Metropolitan Sarbajanin Durgautshab,"Sector A, Metropolitan Co-Op Housing Society, Tangra, Kolkata 700107","22.554642, 88.409085",Salt Lake Sector V/Phoolbagan Metro,4.7,South,Famous-for-lighting
Behala Natun Dal,"12/2 Auddy Bagan, Behala, Kolkata 700034","22.500465, 88.319987",Behala Bazar,4.5,South,Award-winner
Kamardanga Sitalatala Puja Committee,"Sitala Mandir. Kamardanga, Ichapur. Howrah 711104","22.595853, 88.303670",Howrah Maidan,4.6,Howrah,Traditional
Barisha Players Corner,"Raja Rammohan Roy Rd, Behala Chowrasta, Barisha, Kolkata 700008","22.487580, 88.314408",Behala Chowrasta,4.7,South,Famous-for-lighting
22 No. Pally Basi Bindo Durga Puja Pandal,"LIG Housing. Dutta Bagan, Paikpara, Kolkata 700037","22.609369, 88.390452",Belgachhia,3.7,North,Community-favorite
29 Pally Durga Puja Pandal,Chamrapatti. Behala. Kolkata 700038,"22.504192, 88.324518",Taratala,4.5,South,Community-favorite
37 Palli Durga Puja Pandal,"10 Dr Kartik Bose St. College Row, Baithakkhana, Kolkata 700009","22.574678, 88.369378",Sealdah / Mahatma Gandhi Road,4.2,East,Community-favorite
48 North Basudebpur Natun Pally Belghoria,"48. N Basudev Rd, Natun Pally, Belghoria, Panihati 700056","22.676772, 88.390187",Baranagar,5,Others,Community-favorite
66 Pally Durgapuja Pandal,9/5A/1 Nepal Bhattacharya St. Kalighat. Kolkata 700026","22.518541, 88.342902",Kalighat,4.5,South,Community-favorite
68 Palli Durga Puja Pandal,1A. Broad St. Ballygunge Park. Ballygunge. Kolkata 700019","22.529431, 88.367282",Jatin Das Park / Netaji Bhavan,5,South,Community-favorite
68 Palli Durga Puja,"9 Indra Roy Rd, Bakul Bagan, Bhowanipore, Kolkata 700025","22.528357, 88.346396",Jatin Das Park / Netaji Bhavan,4.4,South,Community-favorite
7 Tanks Durga Puja Pandal,"Seven Tanks Ln, Sinthee. Kolkata 700030","22.623161, 88.388792",Dum Dum,4.2,North,Community-favorite
Aa 1d Sarbojanin Durga Puja,"DC Block(Newtown), Action Area I, Newtown 700156","22.576143, 88.472480",Salt Lake Sector-V,4.5,East,Community-favorite
Ac Block Puja Pandal,"AC Block(Newtown), Action Area I, Newtown 700163","22.585963, 88.447959",Salt Lake Sector-V,4.5,East,Community-favorite
Ae (part-2) Durga Puja,"AE Block. Sector 1. Bidhannagar, Kolkata 700064","22.600880, 88.411910",Central Park,4.1,East,Community-favorite
Aj Block Puja Pandal,"Salt Lake. AJ Block, Sector 2, Bidhannagar, Kolkata 700091","22.591219, 88.428022",Karunamoyee,4.4,East,Community-favorite
Annapurna Club Durga Puja Pandal,"15/1, Kali Kundu Ln, Kadam Tala, Howrah 711101","22.585823, 88.325820",Howrah Maidan,4.6,Howrah,Community-favorite
Ba Block Durga Puja Ground,"BA Block(Newtown), Action Area I. Newtown 700163","22.584976, 88.461584",Salt Lake Sector-V,4.5,East,Community-favorite
Bagbazar Pally Puja O Prodorshoni,Girish Ave. Sovabazar. Baghbazar. Kolkata 700003,"22.601980, 88.367300",Shyambazar / Shobhabazar Sutanuti,4.4,North,Community-favorite
Bagbazar Sarbojanin Durga Puja Mandap,"213, Baghbazar. Kolkata 700003","22.604616, 88.366048",Shyambazar / Shobhabazar Sutanuti,4.7,North,Community-favorite
Baghajatin B & C Durga Puja Art,"Baghajatin C Block, Chittaranjan Colony 6, Kolkata 700092","22.484525, 88.375981",Satyajit Ray / Gitanjali,4.2,South,Community-favorite
Baghbazar Haldar Bari Puja,"17/1, Kaliprasad Chakraborty St. Baghbazar, Kolkata 700003","22.603520, 88.366891",Shyambazar / Shobhabazar Sutanuti,4.6,North,Community-favorite
Baghmari Club Durga Puja Pandal,"248, Bagmari Rd, Bagmari, Kolkata 700054","22.585096, 88.384577",Phoolbagan,4.9,East,Community-favorite
Bagmari Bazar Sarbojonin Durga Utsav Committee,"43/B, Bagmari, Kolkata 700054","22.584090, 88.382169",Phoolbagan,4.3,East,Community-favorite
Bagnan Naba Jagaran Durga Puja Club,"OT Rd. Bagnan, Howrah 711303","22.467457, 87.965832",4.3,Howrah,Community-favorite,
Baishnabghata Yatra Shuru Sangha,"101-100 Raja SC Mallick Rd, Garia, Kolkata 700084","22.470618, 88.377879",Kavi Nazrul/ Gitanjali,4.2,South,Community-favorite
Bamanmura Main Road Durgapuja Committee,Bamunmura Rd. Madhyamgram. Kolkata 700125,"22.702684, 88.511616",4.3,Others,Community-favorite,
Bandhu Milan Sangha Durga Puja Pandal,"55/3, Makardah Rd, Bantra, Tikiapara, Howrah 711101","22.594755, 88.314990",Howrah Maidan,4.5,Howrah,Community-favorite
Bangaliyana Mela & Durga Puja Ground,"VIP Rd, Desh Bandhu Nagar, Baguiati 700159","22.612483, 88.429715",Central Park / Karunamoyee,4.7,East,Community-favorite
Bansdroni Pally Unnayan Samity Puja Mondop,"33/A, Natun Bazar Sukantosarani, Sart Pally, Kolkata 700070","22.465380, 88.356367",Masterda Surya Sen,4,South,Community-favorite
Bansdroni Park Association,"Bansdroni Park, Kolkata 700070","22.469606, 88.355199",Masterda Surya Sen,4,South,Community-favorite
Baranagar Friend's Association Durga Puja,"46/2/1 Nainan Para Ln, Baranagar 700036","22.631931, 88.376078",Noapara / Dum Dum,4.5,North,Community-favorite
Baranagar Netaji Colony Sarbojanin Durga Puja Highland,"106 Netaji Colony, Joyshree, Baranagar 700090","22.636650, 88.379026",Noapara,4.5,North,Community-favorite
Barowarikhola Kali Mandir Durga Mandir,"Madhyamgram Municipality ward 20. Madhyamgram, Kolkata 700129","22.692575, 88.460070",Jai Hind,4.6,Others,Community-favorite
Baruipur Sarbojonin Puja O Utsav Sangha Durga Mandir,"Maha Prabhu Tala, Baruipur 700144","22.346446, 88.442206",4.7,South,Community-favorite,
Basu Bati (bagbazar),"65/2. Bagbazar St. Baghbazar, Kolkata 700003","22.603562, 88.370725",Shyambazar,4.1,North,Community-favorite
Bc Block Durga Puja Ground,"BC Block(Newtown), Newtown 700163","22.583544, 88.467638",Salt Lake Sector-V,4.8,East,Community-favorite
Bd Block Durga Puja,"BD Block(Newtown), Newtown 700163","22.582078, 88.470059",Salt Lake Sector-V,4.7,East,Community-favorite
Behala Player's Corner Durga Puja,"2/6. Biren Roy Rd, Behala Chowrasta, Bata Colony, Barisha, Kolkata 700008","22.486223, 88.314288",Behala Chowrasta,4.5,South,Community-favorite
Beliaghata 33 Pally,"P-225/1 CIT Rd. Phoolbagan, Beleghata, Kolkata 700010","22.568569, 88.391128",Phoolbagan,4.4,East,Community-favorite
Bh Block Durga Puja,"BH Block, Sector 2. Bidhannagar, Kolkata 700091","22.593927, 88.424334",Karunamoyee / Central Park,4.2,East,Community-favorite
Bhar'der Thakur Bari,"56, Durga Charan Mitra St. Manicktala, Darjipara, Shobhabazar, Kolkata 700006","22.592958, 88.367634",Shobhabazar Sutanuti,4.6,North,Community-favorite
Bhawanipore Mitra Bari,"14/1, Paddapukur Rd. Paddapukur, Bhowanipore. Kolkata 700020","22.533316, 88.348470",Netaji Bhavan,4.8,South,Community-favorite
Bhowanipur 75 Palli,1/1C Debendra Ghosh Rd Bhowanipore. Kolkata 700025,"22.533007, 88.345439",Netaji Bhavan,4.3,South,Community-favorite
Bhowanipur Sarbojanin Durgotsav,Chandra Nath Chatterjee St. Bhowanipore. Kolkata 700025,"22.534987, 88.344282",Netaji Bhavan,4.6,South,Community-favorite
Bhuripukur Durga Puja Pandal,"Narendrapur, Rajpur Sonarpur 700149","22.407137, 88.401508",Shahid Khudiram,4.4,South,Community-favorite
Bondhudol Durga Puja,"41 BT Rd, Sinthi More, Baranagar 700036","22.632901, 88.378690",Noapara / Dum Dum,4.3,North,Community-favorite
Brindabon Matri Mandir,"16. Brindaban Mullick 1st Ln. Manicktala, Machuabazar, Kolkata. West Bengal 700009","22.582850, 88.372834",Girish Park / Mahatma Gandhi Road,4.7,East,Community-favorite
Cd Block Durga Puja,"CD Block(Newtown), Action Area I, Newtown 700107","22.574209, 88.464913",Salt Lake Sector-V,4.7,East,Community-favorite
Cf Block Residents' Association Durga Puja Pandal,"CF Block, Sector 1. Bidhannagar, Kolkata 700064","22.593492, 88.417970",Central Park,4.4,East,Community-favorite
Chatterjee Para Sunday Club (gobardanga),"Paul Para Rd. Babupara, Gobardanga 743252","22.574354, 88.362873",Shobhabazar Sutanuti,3.9,North,Community-favorite
Chinar Park Adhibasibrinda,"Chinar Park. Tegharia, Rajarhat, Kolkata 700052","22.624972, 88.438571",Jessore Road,4.8,North,Community-favorite
Cossipore Tarundal Durga Puja,7A. Dilargung Rd. Indira Nagar. Chitpur. Kolkata 700002,"22.609430, 88.373100",Shyambazar,5,North,Community-favorite
Dakshin Entally Sarbajanin Durga Puja Committee,"20-24. Ismail St. Entally, Kolkata 700014","22.555940, 88.367194",Sealdah,5,East,Community-favorite
Dakshin Kolkata Sarbojonin Durgotsob,"Allenby Rd. Sreepally, Bhowanipore, Kolkata 700020","22.536366, 88.351187",Netaji Bhavan,4.6,South,Community-favorite
Darjipara Mitra House,"19/1. Nilmoni Mitra Street. Shyambazar. Darjipara, Kolkata 700006","22.591702, 88.363632",Girish Park / Shobhabazar Sutanuti,4.9,North,Community-favorite
Dashadrone Youth Karna Shyam Durga Puja Pandal,"Dashadrone. Manick Tala. Kaikhali, Kolkata 700136","22.630833, 88.447808",Jessore Road / Jai Hind,5,Others,Community-favorite
Db Block Durga Puja Ground,"DB Block(Newtown), Action Area I. Newtown 700107","22.571628, 88.467638",Salt Lake Sector-V,4.6,East,Community-favorite
Deshapriyanagar Sadharan Durgotsab Sinthi More,"1, KC Ghosh Rd. Deshapriya Nagar Colony. Sinthee. Kolkata, Baranagar, West Bengal 700050","22.630928, 88.380778",Noapara / Dum Dum,4.7,North,Community-favorite
Dhaniapara Puja Mandap,"Dhaniapara Rd, Anandapuri, Barrackpore 700122","22.763632, 88.372136",4.4,Others,Community-favorite,
Dharar Math Bhatri Sangha Durgapuja Pandal,Joynarayan Babu Ananda Dutta Ln. Bantra. Kadam Tala. Howrah 711101,"22.583523, 88.323840",Howrah Maidan,4.5,Howrah,Community-favorite
Duillya Durga Puja Pandal,Andul Mauri. Duillya. Howrah 711302,"22.581996, 88.242467",Howrah Maidan,4.6,Howrah,Community-favorite
Durga Bhavan (baranagar Lowland Durga Puja),Sadhan Pally. Baranagar 700090,"22.634134, 88.385838",Noapara,4.5,North,Community-favorite
Durga Maath Open Play Ground (tangra,100 Yrs),"22.574354, 88.362873",20/B. Pottery Rd. Seal Lane. Tangra. Kolkata 700015,Sealdah,4.1,East
Durga Puja Committee (triangular Park),"172/5, Rash Behari Ave. Triangular Park. Ballygunge. Kolkata 700029","22.517996, 88.356965",Kalighat / Jatin Das Park,3,South,Community-favorite
Durga Puja Pandal (andul Alampur,Howrah),"22.581802, 88.336217","Andul, Alampur, Howrah 711302",3.7,Howrah,Community-favorite
Durga Puja Pandal (andul,Howrah),"22.581802, 88.336217","461. Majumder para, Andul. Howrah, Kalara 711302",4.4,Howrah,Community-favorite
Durga Puja Pandal,Barrackpore,"22.574354, 88.362873","SN Banerjee Rd, Cantonment. Barrackpore 700120",4.3,Others,Community-favorite
Durga Puja Pandal (howrah-1,Hat Ln),"22.578505, 88.333365","17/27, Hat Ln, Howrah-1, Shibpur, Howrah 711101",Howrah Maidan,5,Howrah
Durga Puja Pandal (manohar Pukur Rd),"22D, Manohar Pukur Rd, Dover Terrace, Ballygunge, Kolkata 700029","22.520737, 88.353221",Jatin Das Park / Kalighat,4.5,South,Community-favorite
Durga Puja Pandal (taratala),"1. Diamond Harbour Rd, Sahapur, Taratala, Kolkata 700088","22.511869, 88.322116",Taratala,4.7,South,Community-favorite
Durga Pujo,Fe Block,"22.581576, 88.417970","FE Block, Sector 3, Bidhannagar, Kolkata 700106",Karunamoyee / City Center / Central Park,4.3,East
Durga Sangha Sitala Temple,"Gurudas Dutta Garden Ln, Surir Bagan. Ultadanga, Kolkata 700067","22.594694, 88.388928",Belgachhia,4.2,North,Community-favorite
Entally Sen Villa Durga Puja,"16. Convent Rd. Sealdah, Entally, Kolkata 700014","22.560800, 88.373783",Sealdah,3.3,East,Community-favorite
Fatehpur Bazar Durga Puja Pandal,"TG Rd. Fatehpur Bazar, Garden Reach. Maheshtala. Kolkata 700024","22.537321, 88.291101",Majerhat,4.7,South,Community-favorite
Fuleswar South Side Durgapuja,"Fuleswar, Uluberia, Howrah 711316","22.480735, 88.112053",4.7,Howrah,Community-favorite,
Fultala Playground & Durga Puja Pandal,"Jagatpur E Rd, Brindabanpur, Uluberia, Howrah 711316","22.489319, 88.117028",5,Howrah,Community-favorite,
Gauri Bari Sarbojanin Durga Puja Pandal,"4 Gouri Bari Ln. Manicktala, Kolkata 700004","22.594377, 88.378731",Shyambazar,4.5,North,Community-favorite
Ghose Bari (pathuriaghata,46 Pathuriaghata St),"22.589113, 88.355681","46. Pathuriaghata St. Jorabagan, Kolkata 700006",Girish Park,4.7,North
Golf Green Phase Ii Durga Puja Pandal,"LIG 1/2 Golf Green, Kolkata 700095","22.493996, 88.360962",Mahanayak Uttam Kumar,4.6,South,Community-favorite
Gopalnagar Malirbagan Durgapuja,"Malirbagan, Bangaon. Khamarkalla 743262","22.714352, 88.387058",Kolkata Metro,4.7,South,Community-favorite
Gouriberia Sarbojanin Durgotsab O Pradarshani,"Gouri Bari, CIT Park, Kolkata 700004","22.593095, 88.377953",Shyambazar,4.4,North,Community-favorite
Greenpark Sarbojonin Durgotsob,158. Green Park. Narendrapur. Rajpur Sonarpur 700103,"22.443637, 88.399589",Shahid Khudiram,3.9,South,Community-favorite
Harakutir Ray-Banerjee Barir Durga Pujo,"53 Pathuriaghata St. Jorabagan, Kolkata 700006","22.589113, 88.355681",Girish Park,4.8,North,Community-favorite
Haridevpur 41 Pally Club,276 MG Rd. Haridevpur. Kolkata 700041,"22.482915, 88.338485",Netaji,4.4,South,Community-favorite
Haritaki Bagan Sarbojonin Durgotsab,"36, Haritaki Bagan Ln, Manicktala, Azad Hind Bag, Kolkata, West Bengal 700006","22.586435, 88.372250",Girish Park,4.7,North,Community-favorite
Hatkhola Gosaipara Sarbojonin Durgotsab,"Gossain Para Ln, Kumartuli, Kolkata 700005","22.599161, 88.359082",Shobhabazar Sutanuti,4.6,North,Community-favorite
Hazra Park Durga Puja,"Hazra Rd, Jatin Das Park. Bhowanipore. Kolkata 700026","22.523520, 88.343519",Jatin Das Park,4.4,South,Community-favorite
Hedua Park Durga Puja,"Hedua, Manicktala, Kolkata 700006","22.588504, 88.365819",Girish Park,4.5,North,Community-favorite
Hridaypur Friend's Circle,"Kailas Nagar, Madhyamgram, Kolkata 700127","22.711695, 88.473691",Jai Hind,4.7,Others,Community-favorite
Jagaran Sangha (narendrapur),"Dakshin Jagaddal. Narendrapur, Rajpur Sonarpur 700151","22.424287, 88.404029",Shahid Khudiram,4.2,South,Community-favorite
Jagari Sangha,"79A, Purbachal Main Rd, South Purbachal, Haltu, Kolkata 700078","22.505128, 88.392398",Kavi Sukanta,4.2,South,Community-favorite
