Pandal Name,Address,"Lat, Long",Nearest Metro,Rating (2025),Zone,Category
Uttar Kolkata Sarbojanin Durga Puja - Birendra Mancha,"5/1, Balaram Ghosh St, Shyampukur, Hati Bagan, Shyam Bazar, Kolkata 700004","22.599252, 88.369431",Shyambazar / Shobhabazar Sutanuti,4.4,North,Community-favorite
Yuba Brinda Durga Puja Mandop,"Daspara, Ultadanga, Kolkata 700067","22.597600, 88.381592",Shyambazar / Belgachhia,4.4,North,Traditional
9 Palli Sarbojanin Durgotsab,"9-ER-PALLI SARBOJANIN DURGOTSAB, Kolkata (FFD Member 2025)","22.574354, 88.362873",Shobhabazar Sutanuti,4.6,North,Award-winner
Vidyasagar Central Sarbojanin Durgatsav Committee,"1/31, Vidyasagar Colony, Ganguly Bagan, Kolkata 700047","22.481357, 88.374569",Gitanjali,4.9,South,Award-winner
Hindusthan Volunteers,"E/146/2, Jessore Rd, Motilal Colony, Rajbari, Dum Dum, Kolkata 700079","22.643148, 88.431918",Jessore Road / Jai Hind,4.9,Others,Award-winner
Kalitala Sporting Club,"126, North Purbachal Kalitala Rd, Kalikapur, Haltu, Kolkata 700078","22.504138, 88.398922",Kavi Sukanta,4.8,South,Community-favorite
Beleghata Lake Side (south) Club,"64/11J, Suren Sarkar Rd, Phoolbagan, Beleghata, Kolkata 700010","22.564856, 88.401174",Salt Lake Stadium,4.9,East,Award-winner
Aikyatan,"1. New Ballygunge Rd. Kushum Kumari Basti, Kasba. Kolkata 700039","22.522880, 88.379943",VIP Bazar,4.5,East,Award-winner
Rammohan Smriti Sangha,"24A, Amherst Row. Manicktala, Simla, Machuabazar, Kolkata, West Bengal 700009","22.584111, 88.372244",Girish Park / Mahatma Gandhi Road,4.6,East,Traditional
Tala Pally Sadharan Durgotsab Samity,"1. Khanpur Rd. Naktala, Bansdroni, Kolkata 700047","22.475214, 88.363892",Masterda Surya Sen,4.7,South,Famous-for-lighting
Unnayani Sangha,"Banerjee Para Rd, Colony No.1. Paschim Putiary, Kolkata 700041","22.482755, 88.344058",Netaji,4.8,South,Community-favorite
Jitendra Smriti Sangha,17e. SN Roy Rd. Panchabatitala. Chamrapatti. Behala. Kolkata 700038,"22.506125, 88.323884",Taratala,4.9,South,Award-winner
Masterda Smriti Sangha,"AB-61/1, Prafulla Kanan, Kestopur, Kolkata 700101","22.606956, 88.423870",Central Park,4.9,East,Award-winner
Sunil Nagar Sarbojanin,"SUNIL NAGAR SARBOJANIN, Kolkata (FFD Member 2025)","22.574354, 88.362873",VIP Bazar/Ritwik Ghatak,4.9,East,Award-winner
Mall Pally Sarbojanin Puja Committee,"MALL PALLY SARBOJANIN PUJA COMMITTEE, Kolkata (FFD Member 2025)","22.505073, 88.368585",Salt Lake Sector V / Phoolbagan Metro,4.5,East,Award-winner
Kidderpore Juba Gosthi,"30. Joy Krishna Paul Rd. Andaman Dock, Kidderpore, Kolkata 700023","22.544070, 88.319888",Majerhat / Rabindra Sadan / Netaji Bhavan,4.7,South,Famous-for-lighting
Behala Young Men's Association,"69. JK Paul Rd, Sahapur, New Alipore, Kolkata 700038","22.507012, 88.324670",Taratala,4.8,South,Community-favorite
Cit Light Welfare Association,"CIT LIGHT WELFARE ASSOCIATION, Kolkata (FFD Member 2025)","22.519700, 88.376657",Salt Lake Sector V/Phoolbagan Metro,4.9,South,Award-winner
Swatantra Jubak Sangha,Diamond Harbour Rd. Watgunge. Kidderpore. Kolkata 700023,"22.357337, 88.270403",Rabindra Sadan / Maidan,4.7,South,Famous-for-lighting
Paddapukur Youth Association,"Paddapukur Rd. Paddapukur, Bhowanipore, Kolkata 700020","22.531975, 88.351545",Netaji Bhavan,4.8,South,Community-favorite
The Bengal Boys Training Association,"Kalighat Rd, Anami Sangha, Kalighat, Kolkata 700026","22.518697, 88.341395",Kalighat,4.9,South,Award-winner
Bandhura,32 Nabanaritala. 1st Bye Ln. Bagber. Baksara. Howrah 711110,"22.576209, 88.293609",Howrah Maidan,4.7,Howrah,Famous-for-lighting
Jadavpur Athletic Club,"C-1/3. Regent Estate Rd, Bapuji Nagar, Jadavpur, Kolkata 700092","22.489152, 88.371569",Masterda Surya Sen / Gitanjali / Satyajit Ray,4.9,South,Award-winner
State Bank Park Sarbojanin Durgotsab,"133, Diamond Harbour Rd, East Barisha Govt Colony. Thakurpukur, Kolkata 700063","22.466957, 88.308618",Thakurpukur,4.6,South,Traditional
Ee Block Saradotsav Committee,"118/2, AL Block, Sector 2. Bidhannagar, Kolkata 700091","22.586669, 88.432278",Salt Lake Sector V / Phoolbagan Metro,4.7,East,Famous-for-lighting
Ichapur Shivaji Sangha,"1, Kedar Bhattacharya 4th Bye Ln, Ichapur, Howrah 711104","22.588248, 88.305896",Howrah Maidan,4.9,Howrah,Award-winner
Selimpur Pally Sarbojanin Durgotsab,"110 Selimpur Rd, Dhakuria, Kolkata 700031","22.504424, 88.371261",Rabindra Sarobar,4.6,South,Traditional
Kankurgachi Milan Mela Samity,"156, Maniktala Main Rd. Kankurgachi. Kolkata 700054","22.580423, 88.397140",Bengal Chemical,4.7,East,Famous-for-lighting
Taltala Sarbojanin Durga Puja,"Jodhpur Park, Kolkata 700045","22.505059, 88.362338",Rabindra Sarobar / Mahanayak Uttam Kumar,4.5,South,Award-winner
Jorasanko Sadharan Durgotsav Samity,"34, Vivekananda Rd, Jorasanko, Kolkata 700007","22.586193, 88.360843",Girish Park,4.6,North,Traditional
Green Avenue Friends Recreation Club,21. Bagan Bari. Santoshpur. Kolkata 700075,"22.494561, 88.381081",Satyajit Ray / Jyotirindra Nandi,4.5,South,Award-winner
Gray Street Sarbojanin Durgotsab Committee,GRAY STREET SARBOJANIN DURGOTSAB COMMITTEE. Kolkata (FFD Member 2025),"22.596982, 88.411832",Shyambazar / Shobhabazar Metro,4.9,North,Award-winner
41 Pally Durga Puja Haridevpur,"3/53 Haridevpur. Paschim Putiary, Kolkata 700082","22.481035, 88.335239",Netaji,4.8,South,Community-favorite
Acharya Prafulla Pally Adi Sarbajonin Durgotsav (est. 1950),"Patna Rd, Nandan Nagar, Agarpara, Panihati 700083","22.676108, 88.398584",Baranagar,4.8,Others,Community-favorite
Adi Naktala Sarbojanin Durgotsav Committee,"Naktala Rd. Naktala, Garia, Kolkata 700047","22.472896, 88.366196",Gitanjali / Masterda Surya Sen,4.8,South,Community-favorite
Agradoot Club Durga Puja Makhla,"145 Makhla Govt Colony No 2, Olabibitala, Uttarpara 712245","22.670244, 88.339486",Dakshineswar,4.8,Others,Community-favorite
Ajoyadhanagar Club Durga Puja Mandap,"Mahajati Nagar, Birati, North Dumdum 700051","22.660556, 88.436916",Jai Hind,4.8,Others,Community-favorite
Anjangarh Durgapuja Mor,"Anjangarh Rd, Anjangarh, Birati, North Dumdum 700134","22.666169, 88.434953",Jai Hind,4.8,Others,Community-favorite
Bally Juba Sangha Kali Mandir,"22 Mohanlal Bahalwalla Rd, Belur, Bally, Howrah 711201","22.638507, 88.342496",Dakshineswar,4.8,Howrah,Community-favorite
Ballygunge 21 Pally,"17 Bondel Rd, Ballygunge Park, Kolkata 700019","22.529201, 88.371656",Jatin Das Park / Netaji Bhavan / Rabindra Sadan,4.8,South,Community-favorite
Ballygunge Pratisthan Durgabari,"82/4A Ballygunge Place, Ballygunge, Kolkata 700019","22.525849, 88.369009",Jatin Das Park / Netaji Bhavan / Kalighat,4.8,South,Community-favorite
Baruipur Padmapukur Sarbojanin Durga Puja Mondop,"Padmapukur, Madhya Kalyanpur. Baruipur 700144","22.370617, 88.425146",4.8,South,Community-favorite,
Belgharia Bani Mandir Durga Puja,"1/1A Adarsha Pally, Belghoria, Kolkata 700056","22.665841, 88.381002",Baranagar,4.8,Others,Community-favorite
Bhartiya Yuva Parishad Puja Pandal Metiabruz,"Rajabagan, Metiabruz, Kolkata 700044","22.553274, 88.272274",Majerhat,4.8,South,Community-favorite
Bhattacharya Para Sarbajanin Durga Puja,"62/2 Sastri Narendranath Ganguly Rd. Ramrajatala, Howrah 711104","22.582286, 88.302133",Howrah Maidan,4.8,Howrah,Community-favorite
Bhowanipur Swadhin Sangha Durga Puja,"4A Mahesh Chowdhury Ln, Paddapukur, Bhowanipore, Kolkata 700025","22.531932, 88.346402",Netaji Bhavan,4.8,South,Community-favorite
Chakraborty Barir Durga Pujo,"55 Dr PC Lahiri Sarani, Sadhan Pally, Baranagar 700050","22.632230, 88.384516",Noapara/Dum Dum,4.8,North,Community-favorite
Chorbagan Chatterjee Bari,"120 Muktaram Babu St. College Street, Kolkata 700007","22.582162, 88.363626",Mahatma Gandhi Road,4.8,North,Community-favorite
Dewanpara Sarbojanin Durgapuja Samity,"2 Nawab Abdul Latif St. Belghoria, Kolkata 700056","22.663762, 88.383179",Baranagar,4.8,Others,Community-favorite
Dharsa Chowdhury Para Durgamondop,58/10 Kona Rd. Ramrajatala. Howrah 711112,"22.592765, 88.296842",Howrah Maidan,4.8,Howrah,Community-favorite
Domjur Ghoshbari Puja Mandap,"Domjur Jagadishpur Rd, Baruipara, Domjur, Howrah 711405","22.635456, 88.220271",4.8,Howrah,Community-favorite,
Durga Bari Baruipara Domjur,"Amta Rd. Fokor Dokan, Baruipara, Domjur, Howrah 711405","22.630922, 88.226970",4.8,Howrah,Community-favorite,
Durga Puja Mandap Panihati,"14. Kamarhati, Agarpara, Panihati 700058","22.684960, 88.373681",Baranagar / Dakshineswar,4.8,Others,Community-favorite
Durgotsab Samity Dakkhin Roytala,"92/A Brajanath Lahiri Ln, Dakkhin Roytala, Howrah 711104","22.583365, 88.297004",Howrah Maidan,4.8,Howrah,Community-favorite
Gajon Tola Durga Puja Mondop Nangi,"Nangi. Batanagar, Maheshtala 700140","22.512537, 88.217774",4.8,South,Community-favorite,
Garden Reach Durga Puja Pandal,Paharpur Rd. Roy Para Garden Reach. Kolkata 700024,"22.540840, 88.286549",Majerhat,4.8,South,Community-favorite
Halder Para Kalitala Durga Puja Budge Budge,"Halderpara, Shyampur, Budge Budge. Maheshtala 700137","22.491173, 88.190336",4.8,South,Community-favorite
Jagriti Sangh Durga Puja Pandal Titagarh,"Purani Bazar, Titagarh 700119","22.737214, 88.368606",Dakshineswar / Baranagar,4.8,Others,Community-favorite
Jorasanko Shib Krishna Daw Bari,"12 Shib Krishna Daw Ln. Jorasanko, Kolkata 700007","22.585698, 88.359545",Girish Park / Mahatma Gandhi Road,4.8,North,Community-favorite
Kalyan Sangha Durga Puja Lake Gardens,347 Prince Anwar Shah Rd. Lake Gardens. Kolkata 700095,"22.501424, 88.356918",Rabindra Sarobar / Mahanayak Uttam Kumar,4.8,South,Community-favorite
Kankurgachi Mitali Sangha Durga Puja Pandal,"179A/1A Maniktala Main Rd, Kadapara, Kankurgachi, Kolkata 700054","22.579501, 88.394044",Bengal Chemical / Phoolbagan,4.8,East,Community-favorite
Kashipur Durga Puja Pandal Dasnagar,"Natun Pally, Kunjapara, Netajigarh, Dasnagar, Howrah 711105","22.605247, 88.304393",Howrah Maidan,4.8,Howrah,Community-favorite
Kashipur Saner Ghat Durga Puja,"Natun Pally. Kunjapara, Netajigarh, Dasnagar, Howrah 711105","22.605247, 88.304393",Howrah Maidan,4.8,Howrah,Community-favorite
Khelat Bhavan Pathuriaghata Rajbari,"47 Pathuriaghata St. Jorabagan, Kolkata 700006","22.589113, 88.355681",Girish Park,4.8,North,Community-favorite
Kidderpore 25 Palli Durga Puja,"3A Gopal Ghosh Ln, 25 Palli, Kidderpore, Kolkata 700023","22.538678, 88.326853",Majerhat / Netaji Bhavan / Rabindra Sadan,4.8,South,Community-favorite
Madhya Garfa Sarbojanin Durgotsab Puja Committee,"Garfa 4th Ln. Viveknagar, Garfa, Kolkata 700075","22.499065, 88.377428",Satyajit Ray / Jyotirindra Nandi,4.8,South,Community-favorite
Maha-Anander Polly Sarbojonin Durga Utsob Committee,17 Kunjapara. Netajigarh. Dasnagar. Howrah 711105,"22.604922, 88.312279",Howrah Maidan,4.8,Howrah,Community-favorite
Majumder Para Durga Puja Pandal Andul,"461 Majumder Para, Andul, Kalara, Howrah 711302","22.578445, 88.204524",4.8,Howrah,Community-favorite,
Makhla Durga Puja Pandal Uttarpara,"Makhla Rd, Olabibitala, Makhla, Uttarpara 712233","22.669525, 88.339053",Dakshineswar,4.8,Others,Community-favorite
Metropolitan Durga Bari Tangra,"Sector A. Metropolitan Co-op Housing, Tangra, Kolkata 700107","22.554642, 88.409085",Beleghata,4.8,South,Community-favorite
Milan Sangha Durga Puja Pandal Ramrajatala,"119A Arupara Rd, Ramrajatala, Howrah 711112","22.596397, 88.299538",Howrah Maidan,4.8,Howrah,Community-favorite
Newland Durga Puja Mandap Batanagar,"Das Para, Batanagar, Maheshtala 700140","22.507391, 88.230296",Behala Chowrasta / Sakherbazar / Behala Bazar,4.8,South,Community-favorite
Newtown Action Area Iii Durga Puja Pandal,Action Area III. Newtown 700135,"22.568306, 88.510595",Salt Lake Sector-V,4.8,Others,Community-favorite
Nimta Sanghati Puja Mandap,Kabi Satyen Dutta Rd. Sarada Palli. Nimta. North Dumdum 700049,"22.667379, 88.407305",Dum Dum Cantonment / Noapara / Baranagar,4.8,Others,Community-favorite
Pathuriaghata Rajbari (khelat Ghose Residence),"69 Pathuriaghata St. Jorabagan, Kolkata 700006","22.589113, 88.355681",Girish Park,4.8,North,Community-favorite
Pragati Sangha Baruipur,"Subuddhipur, Baruipur 700144","22.361200, 88.436330",4.8,South,Community-favorite,
Salkia Chatra Bayam Samity (shishu Udyan),"134 Salkia School Rd, Salkia, Howrah 711106","22.594065, 88.345039",Howrah,4.8,Howrah,Community-favorite
Salkia Sangha Shree Maidan,"94 Salkia School Rd. Bandhaghat, Salkia. Howrah 711106","22.599332, 88.347420",Shobhabazar Sutanuti / Howrah / Girish Park,4.8,Howrah,Community-favorite
Sankrail Sporting Union Durga Mandap,"Ramchandrapur, Sankrail. Howrah 711313","22.565707, 88.226353",4.8,Howrah,Community-favorite,
Santoshpur Trikon Park Durgotsab,"31 Santoshpur Ave, Santoshpur, Kolkata 700075","22.491849, 88.385732",Satyajit Ray,4.8,South,Community-favorite
Shaktigarh Durga Mandop Birati,"Saktigarh Main Rd. Khalisha Kota, Birati. Kolkata 700051","22.657716, 88.426018",Jai Hind,4.8,Others,Community-favorite
Shreebhumi Sporting Club Durga Puja,"8th Ln, Sreebhumi, Lake Town, South Dumdum 700048","22.599317, 88.402407",City Center / Central Park,4.8,East,Community-favorite
Sister Nivedita Multipurpose Society Durga Puja Mandap,"12 Sister Nivedita Rd, Nabapally, Thakurpukur, Kolkata 700063","22.466927, 88.312102",Thakurpukur,4.8,South,Community-favorite
Sonar Durga Bari (mukherjee Bari) Behala,"9 Kedar Chatterjee Ln. Bakshi Bagan. Behala, Kolkata 700034","22.499887, 88.314535",Behala Bazar,4.8,South,Community-favorite
Tarapukur Paschimpally Puja Mandop Committee,"Biplabi Surya Sen St. Tarapukur West. Agarpara, Panihati 700109","22.687624, 88.385603",Baranagar,4.8,Others,Community-favorite
Titagarh Tarun Sangh Durga Puja Committee,"49 MG Rd, Titagarh, Barrackpore 700119","22.741221, 88.370593",Dakshineswar / Baranagar,4.8,Others,Community-favorite
Tollygunge Adi Durga Mancha,"51/1, 9 Gobinda Banerjee Ln, Tollygunge, Kolkata 700033","22.502239, 88.343833",Rabindra Sarobar,4.8,South,Community-favorite
Young Blood Sarbojanin Durgotsab Committee,"13 Sovaram Basak St, Bara Bazar, Jorasanko, Kolkata 700007","22.585393, 88.353548",Mahatma Gandhi Road / Girish Park,4.8,North,Community-favorite
Shakuntala Park Netaji Sangha,"8. Shyam Sunder Pally Main Rd. Meera Nagar, Behala, Kolkata 700061","22.487311, 88.290116",Behala Chowrasta / Sakherbazar,4.9,South,Award-winner
Baguiati Subhas Sangha,"Subhash Sangha. AA/8/3. Desh Bandhu Nagar, Baguiati. Kolkata 700059","22.613295, 88.423506",Central Park,4.5,East,Award-winner
Santoshpur Adi Sarbojanin Durgotsab,"40. Lake East 6th Rd. Adipally. Santoshpur, Kolkata 700075","22.490852, 88.387627",Satyajit Ray / Jyotirindra Nandi,4.7,South,Famous-for-lighting
Sontoshpur Avenue South Club,"4. Avenue S. Bidhan Colony. Santoshpur, Kolkata 700075","22.492188, 88.379826",Satyajit Ray,4.9,South,Award-winner
Seva-O-Sanskriti Sangha,SEVA-O-SANSKRITI SANGHA. Kolkata (FFD Member 2025),"22.558669, 88.368024",Shyambazar / Shobhabazar Metro,4.7,South,Famous-for-lighting
Sura Sarbojanin Durgotsab Committee,SURA SARBOJANIN DURGOTSAB COMMITTEE. Kolkata (FFD Member 2025),"22.596982, 88.411832",Salt Lake Sector V / Phoolbagan Metro,4.9,East,Award-winner
Baguiati Udayan Sangha,"FA 24/3, Narayantala W Ln, Desh Bandhu Nagar, Baguiati, Kolkata 700059","22.610238, 88.422392",Central Park,4.6,East,Traditional
Adhibasibrinda Kanaidhar Lane,"25/8A, Kanai Dhar Ln, Newland, College Square, Kolkata, West Bengal 700012","22.572707, 88.365618",Central/Sealdah,4.7,Central,Famous-for-lighting
Aurobindo Setu Sarbojanin Durgapuja,"9/1/5 Canal E Rd, Daspara, Ultadanga, Kolkata 700067","22.594615, 88.380747",Shyambazar,4.8,North,Community-favorite
Chaltabagan Sarbojanin Durgotsab Committee,"159D Vivekananda Rd. Machuabazar, Kolkata 700009","22.585603, 88.372483",Girish Park / Mahatma Gandhi Road,4.7,East,Famous-for-lighting
Pataldanga Sri Sri Saradiya Mahapuja,"PATALDANGA SRI SRI SARADIYA MAHAPUJA, Kolkata (FFD Member 2025)","22.576675, 88.373545",Shyambazar / Shobhabazar Metro,4.5,Central,Award-winner
Rampur Aker Pally Club,Ramnagar. Shibrampur Mauza. Maheshtala 700141,"22.484665, 88.263760",Tollygunge / Behala Chowrasta Metro,4.5,South,Award-winner
Brihattara Bagmari Sarbajanin Durgotsab Committee,"43/B, Bagmari, Kolkata 700054","22.584090, 88.382169",Salt Lake Sector V/Phoolbagan Metro,4.8,East,Community-favorite
Bagmari Nabarun Sangha,"1/53A, Bagmari Rd. Ghose Bagan, Kolkata 700054","22.588939, 88.394411",Bengal Chemical / City Center,4.7,East,Famous-for-lighting
Khiddrepur Sarbojanin,"Mansatala Row, Kidderpore. Kolkata 700023","22.538509, 88.325956",Tollygunge / Behala Chowrasta Metro,4.7,South,Famous-for-lighting
Aswininagar Bandhu Mahal Club,"Ashwini Nagar, Baguiati, Kolkata 700159","22.606963, 88.432843",Central Park / Karunamoyee,4.5,East,Award-winner
Andul Rajbari,Andul Mauri. Andul. Howrah 711302,"22.581996, 88.242467",4.8,Howrah,Traditional,
Baishnab Das Mallick Bari (malapara),"32, Darpanarayan Tagore St. Jorabagan, Kolkata 700007","22.587485, 88.354257",Girish Park / Mahatma Gandhi Road,4.8,North,Traditional
Beniatola Sarbojanin,"Beniatola St, Sovabazar, Shobhabazar, Kolkata 700005","22.596888, 88.358904",Shobhabazar Sutanuti,4.8,North,Award-winner
Bhukailash Rajbari,"Kanchan Colony. Babu Bazar, Kidderpore. Kolkata 700023","22.534508, 88.317452",Majerhat,4.8,South,Traditional
Chhatu Babu Latu Babu Thakur Bari (ramdulal Nibas),"67 Abhedananda Rd, Girish Park, Kolkata 700006","22.590332, 88.364485",Girish Park,4.8,North,Traditional
Chorbagan Mitra Bari,"84. Muktaram Babu St. College Street, Kolkata 700007","22.582314, 88.362375",Mahatma Gandhi Road,4.8,North,Traditional
Darjipara Mitra Bari,"Chidam Mudi Ramananda Ln. Sovabazar, Darjipara. Kolkata 700006","22.592699, 88.368144",Shobhabazar Sutanuti,4.8,North,Traditional
Deshapriya Park Sarbojanin Durgotsab,"Motilal Nehru Rd. Manoharpukur, Kalighat, Kolkata 700029","22.518628, 88.354116",Kalighat/Jatin Das Park,4.8,South,Award-winner
Ekdalia Evergreen Club,15 Ekdalia Rd. Ballygunge. Kolkata 700019,"22.521200, 88.366541",Jatin Das Park / Kalighat,4.8,South,Award-winner
Ghose Bari (46 Pathuriaghata St),"46 Pathuriaghata St. Jorabagan, Kolkata 700006","22.589113, 88.355681",Girish Park,4.8,North,Traditional
Hathkhola Dutta Bari,"Ram Seth Rd. Nimtalla. Ahiritola, Kolkata 700006","22.592795, 88.354646",Girish Park / Shobhabazar Sutanuti,4.8,North,Traditional
Jagat Mukherjee Park,1 Jatindra Mohan Ave. Sovabazar. Kolkata 700005,"22.599585, 88.366046",Shobhabazar Sutanuti,4.8,North,Award-winner
Jodhpur Park Sarbojanin (distinct From 95 Pally),"1D Jodhpur Park, Kolkata 700068","22.504813, 88.365538",Rabindra Sarobar,4.8,South,Award-winner
Kalabagan Sarbojanin,"KALABAGAN SARBOJANIN, South Kolkata","22.495894, 88.340327",Mahanayak Uttam Kumar / Rabindra Sarobar,4.8,South,Award-winner
Laha Bari,"1 Bechu Chatterjee St. Machuabazar, Kolkata 700009","22.580599, 88.366400",Mahatma Gandhi Road,4.8,East,Traditional
Maddox Square Durga Pujo,"Garcha, Ballygunge, Kolkata 700026","22.527311, 88.353682",Jatin Das Park,4.8,South,Award-winner
Mallick Bari (bhowanipore),"25A/C Mohini Mohan Rd, Jadubabur Bazar, Bhowanipore, Kolkata 700020","22.533638, 88.349093",Netaji Bhavan,4.8,South,Traditional
Mallick Bari (pathuriaghata/Singha Bahini),"26/1, Prasanna Kumar Tagore St. Jorabagan, Kolkata 700006","22.590074, 88.356973",Girish Park,4.8,North,Traditional
Mohammad Ali Park,"Chittaranjan Ave, College Square, Kolkata 700073","22.574707, 88.359632",Mahatma Gandhi Road / Central,4.8,Central,Award-winner
Mudiali Club,"37 SR Das Rd, Mudiali, Kalighat, Kolkata 700026","22.510194, 88.346312",Rabindra Sarobar,4.8,South,Award-winner
NC Daw (bandukbari),"22A, Vivekananda Rd. Jorasanko. Kolkata 700007","22.586186, 88.359479",Girish Park / Mahatma Gandhi Road,4.8,North,Traditional
Pathuriaghata Rajbari (khelat Ghosh's Residence),69. Pathuria Ghat St. Jorabagan. Kolkata 700006,"22.588728, 88.356550",Girish Park,4.8,North,Traditional
Rajdanga Naba Uday Sangha,"Rajdanga Chakraborty Para, East Kolkata Twp. Kolkata 700107","22.517349, 88.391732",VIP Bazar / Hemanta Mukhopadhyay,4.8,South,Award-winner
Rani Rashmoni Bhawan,"18 Rani Rashmoni Rd, Dharmatala, Kolkata 700013","22.562518, 88.355265",Esplanade / Chandni Chowk,4.8,Central,Traditional
Rani Rashmoni Palace,"20/A SN Banerjee Rd, Taltala, Kolkata 700013","22.561843, 88.356062",Esplanade / Chandni Chowk,4.8,Central,Traditional
Sabarna Roy Chowdhury Atchala Bari (boro Bari),"26. Sabarna Para Rd, Barisha, Kolkata 700008","22.479877, 88.306428",Sakherbazar,4.8,South,Traditional
Saborna Roychoudhury Borobari Durga Puja Area,"Barisha Baro Bari Rd, Purba Barisha, Kolkata 700008","22.479726, 88.311564",Sakherbazar,4.8,South,Traditional
Saha Bari (maniktala),"Sisir Bhaduri Sarani, Vivekananda Rd, Manicktala, Kolkata 700006","22.585445, 88.371178",Girish Park,4.8,North,Traditional
Salt Lake Bj Block,"BJ Block, Sector 2. Bidhannagar, Kolkata 700091","22.591233, 88.426441",Karunamoyee,4.8,East,Award-winner
Salt Lake Ck Block,"SALT LAKE CK BLOCK, Salt Lake (Sector 2)","22.586128, 88.426454",Salt Lake Stadium,4.8,East,Award-winner
Salt Lake Fd Block,"FD Block, Sector 3. Bidhannagar, Kolkata 700106","22.583018, 88.413122",City Center/ Central Park,4.8,East,Award-winner
Santosh Mitra Square (lebutala),"Natabar Dutta Row, Lebutala, Bowbazar. Kolkata 700014","22.566646, 88.365016",Sealdah,4.8,Central,Award-winner
Sb Park Sarbojanin,133. Diamond Harbour Rd. State Bank Park. Thakurpukur. Kolkata 700063,"22.466957, 88.308618",Thakurpukur,4.8,South,Award-winner
Sealdah Railway Athletic Club,"78/E, Kaiser St, Sealdah, Raja Bazar, Kolkata 700014","22.570170, 88.372396",Sealdah,4.8,East,Award-winner
Sonar Durga Bari (behala),"56, Brahmo Samaj Road/9. Kedar Chatterjee Ln, New Bakshi Bagan, Behala, Kolkata 700034","22.500036, 88.313931",Behala Bazar,4.8,South,Traditional
Sovabazar Rajbari (boro Rajbari),"Raja Nabakrishna St. Sovabazar, Kolkata 700005","22.597450, 88.364105",Shobhabazar Sutanuti,4.8,North,Traditional
Sreebhumi Sporting Club,"Canal St. Sreebhumi. Lake Town, South Dumdum 700048","22.601013, 88.404564",City Center / Central Park,4.8,East,Award-winner
Suruchi Sangha (new Alipore),"500-505 Station Rd. Block M. New Alipore, Kolkata 700053","22.509608, 88.333951",Rabindra Sarobar / Taratala,4.8,South,Award-winner
Thanthania Dutta Bari,"3 Bidhan Sarani College Street, Kolkata 700009","22.580627, 88.365757",Mahatma Gandhi Road,4.8,East,Traditional
Singhi Park Sarbojanin Durgapuja Committee,18/33 Dover Ln. Ballygunge. Kolkata 700029,"22.522178, 88.361549",Jatin Das Park / Kalighat,4.5,South,Award-winner
50 No Ward Durgapuja Committee,"50 NO WARD DURGAPUJA COMMITTEE, Kolkata (FFD Member 2025)","22.565593, 88.363945",Sealdah/Chandni Chowk,4.7,Central,Famous-for-lighting
