Pandal Name,Address,"Lat, Long",Nearest Metro,Rating (2025),Zone,Category
Sobhabazar Burtolla Sarbojanin Durgotsab,"35A, Abinash Kabiraj St, Sovabazar, Kolkata 700005","22.595867, 88.364418",Shobhabazar Sutanuti,4.6,North,Traditional
Ajeyo Sanhati,"47. Mahatma Gandhi Rd, Haridevpur, Kolkata 700082","22.480831, 88.337557",Netaji,4.5,South,Award-winner
Tekiapara Sarbojanin Durgotsab Committee,"TEKIAPARA SARBOJANIN DURGOTSAB COMMITTEE, Kolkata (FFD Member 2025)","22.596982, 88.411832",Shyambazar / Shobhabazar Metro,4.7,South,Famous-for-lighting
Jorabagan Chhatra Sanghaati,"Jorabagan, Kolkata 700006","22.589132, 88.354289",Girish Park / Shobhabazar Sutanuti,4.8,North,Community-favorite
Udayan Sangha,16. Haralal Das St. Entally. Kolkata 700014,"22.557589, 88.368261",Sealdah,4.8,East,Community-favorite
Hatibagan Sarbojonin Durgotsab Committee,"134 Sri Aurobindo Sarani. Hatibagan, Kolkata 700006","22.594370, 88.372029",Shobhabazar Sutanuti / Shyambazar,4.7,North,Famous-for-lighting
Boral Sukanta Sangha,"Sukanta Pally, Lakepally Rd. Green Park, Boral. Rajpur Sonarpur 700154","22.452036, 88.377028",Kavi Nazrul,4.8,South,Community-favorite
Beliaghata Nabamilan,5. Dr. Asutosh Sastri Rd. Subhas Sarobar Park. Phoolbagan. Beleghata. Kolkata 700010,"22.565001, 88.395327",Phoolbagan / Salt Lake Stadium,4.7,East,Famous-for-lighting
Golf Green Sarodotsava Committee Phase -ii,"LIG 1/2, Golf Green, Kolkata 700095","22.493996, 88.360962",Mahanayak Uttam Kumar,4.5,South,Award-winner
Bhowanipore Sanatan Dharmautsahini Sobha,"BHOWANIPORE SANATAN DHARMAUTSAHINI SOBHA, Kolkata (FFD Member 2025)","22.581205, 88.355142",Kalighat / Jatin Das Park Metro,4.9,South,Award-winner
Sarbojanin Sree Sree Durgotsav Baguiati Sports Council,"AA 16, Desh Bandhu Nagar, Baguiati, Kolkata 700059","22.614378, 88.425678",Central Park,4.6,East,Traditional
Sitala Maitri Sangha,"Purba Sitala, Ghasiara, Rajpur Sonarpur 700150","22.435126, 88.446445",Kavi Subhash / Rabindra Sarobar Metro,4.5,North,Award-winner
Raja Raj Ballav Street Sadanga Durgoutsav Samiti,"51. Raja Raj Ballav St. Bag Bazar Colony, Sovabazar, Bidhan Sarani, Baghbazar. Kolkata. West Bengal 700003","22.600330, 88.367198",Shobhabazar Sutanuti / Shyambazar,4.9,North,Award-winner
Kendua Shanti Sangha,Eastern Metropolitan Bypass Link Rd. Ashutoshpally. Briji. Patuli. Kolkata 700084,"22.471717, 88.381044",Kavi Nazrul,4.5,South,Award-winner
Chandranath Chatterjee Street Sarbojanin,Chandra Nath Chatterjee St. Bhowanipore. Kolkata 700025,"22.534987, 88.344282",Kalighat / Jatin Das Park Metro,4.9,South,Award-winner
Beleghata Sarkar Bazar Vivekananda Sangha,"Sarkar Bazar, 97, KG Bose Sarani, Kundu Bagan, Beleghata, Kolkata 700085","22.566524, 88.386186",Phoolbagan,4.8,East,Community-favorite
Barisha Yubak Brinda,"13. Biren Roy Road W. Behala Chowrasta, Sakher Bazar. Kolkata 700008","22.486145, 88.312361",Behala Chowrasta,4.9,South,Award-winner
Shyampukur Adi Sarbojanin Durgotsab Comm,"22 Ramdhan Mitra Ln. Shyambazar, Kolkata 700004","22.598151, 88.370838",Shyambazar / Shobhabazar Sutanuti,4.7,North,Famous-for-lighting
Telengabagan Sarbojanin Durgotsab,"65 Adhar Chandra Das Ln, Telenga Bagan, Ultadanga, Kolkata 700067","22.595021, 88.385280",Belgachhia,4.5,North,Award-winner
Bantra Mohila Sangha,182/5. Aswini Kumar Mondal Rd. Kadam Tala. Howrah 711101,"22.592909, 88.324449",Howrah Maidan,4.7,Howrah,Famous-for-lighting
The Newalipore Association,"THE NEWALIPORE ASSOCIATION, Kolkata (FFD Member 2025)","22.509039, 88.332943",Kalighat / Jatin Das Park Metro,4.5,South,Award-winner
Behala Natun Sangha Puja Committee,9B. Roy Bahadur Rd. Auddy Bagan Basti. Behala. Kolkata 700034,"22.501711, 88.319355",Behala Bazar,4.5,South,Award-winner
Salkia Bharat Sangha,13. Gangadhar Bhattacharjee Ln. Babudanga. Bandhaghat. Ghusuri. Howrah 711106,"22.606329, 88.346100",Shobhabazar Sutanuti,4.6,Howrah,Traditional
Beadon Row Suchetana Organization,"BEADON ROW SUCHETANA ORGANIZATION, Kolkata (FFD Member 2025)","22.591409, 88.367174",Shobhabazar Sutanuti / Girish Park,4.8,North,Community-favorite
Dum Dum Park Sarbojanin Durga Puja Samity,"225/1 Dum Dum Park, South Dumdum 700055","22.609454, 88.416446",Central Park,4.6,East,Traditional
Manicktala 14er Pally Sadharan Durga Utsab,MANICKTALA 14ER PALLY SADHARAN DURGA UTSAB. Kolkata (FFD Member 2025),"22.586374, 88.376133",Salt Lake Sector V / Phoolbagan Metro,4.5,North,Award-winner
Subal Smriti Sangha- Bantra Sarbojonin Durgotsab,"Aswini Kumar Mondal Rd, Kadam Tala, Howrah 711101","22.592912, 88.324415",Howrah Maidan,4.5,Howrah,Award-winner
Joyrampur Sarbojanin Durgpuja Committee,"Becharam Chatterjee Rd, Ramnarayan Govt Colony, Behala, Kolkata 700061","22.489587, 88.306752",Tollygunge / Behala Chowrasta Metro,4.7,South,Famous-for-lighting
Bhowanipore Swadhin Sangha,4A. Mahesh Chowdhury Ln. Paddapukur. Bhowanipore. Kolkata 700025,"22.531932, 88.346402",Netaji Bhavan,4.8,South,Community-favorite
Jhawtala Sarbojanin,"JHAWTALA SARBOJANIN, Kolkata (FFD Member 2025)","22.574354, 88.362873",Jessore Road,4.7,East,Famous-for-lighting
Sarbodaya Sammilani,5. DumDum Rd. Satpukur. Kolkata 700030,"22.618929, 88.389170",Satyajit Ray,4.5,South,Award-winner
Mitali Kankurghachi,1214j. Maniktala Main Rd. Kankurgachi. Kolkata 700054,"22.580047, 88.394132",Bengal Chemical / Phoolbagan,4.9,East,Award-winner
Mechua Bazar Sarbojanik Durgapuja Samity,MECHUA BAZAR SARBOJANIK DURGAPUJA SAMITY. Kolkata (FFD Member 2025),"22.581214, 88.357246",Shyambazar / Shobhabazar Metro,4.6,South,Traditional
Khidderpore Abhiyan,"KHIDDERPORE ABHIYAN, Kolkata (FFD Member 2025)","22.537192, 88.323057",Tollygunge / Behala Chowrasta Metro,4.6,South,Traditional
Krishnabagan Junior Sangha,"KRISHNABAGAN JUNIOR SANGHA, Kolkata (FFD Member 2025)","22.574354, 88.362873",Shyambazar / Shobhabazar Metro,4.6,South,Traditional
Tangra Gholpara Sarbojanin,"4a/1b. Prabhu Ram Sarkar Ln, Tangra, Kolkata 700046","22.554054, 88.390839",Barun Sengupta / Beleghata,4.6,East,Traditional
Salkia Sadharan Durga Puja (jatadhari Park),"Babudanga, Bandhaghat, Salkia, Howrah 711106","22.601530, 88.348546",Shobhabazar Sutanuti / Howrah,4.7,Howrah,Famous-for-lighting
Tala Prattoy,"Tala Park Rd, Tala, Kolkata 700037","22.609293, 88.379705",Belgachhia,4.5,North,Award-winner
Bijoypur Sarbojanin Durgapuja Committee,"Road No. 2. H B Town, Sodepur, Khardaha 700110","22.695399, 88.391672",Baranagar,4.7,Others,Famous-for-lighting
Ramakrishna Atheletic Club,"RAMAKRISHNA ATHELETIC CLUB, Kolkata (FFD Member 2025)","22.574354, 88.362873",Howrah Maidan Metro,4.8,South,Community-favorite
Golaghata Sammelani,"2. Golaghata Rd, Sreebhumi. Lake Town, South Dumdum 700048","22.597386, 88.399203",City Center / Belgachhia,4.7,East,Famous-for-lighting
Simla Sporting Club,"Near 10. Narayan Roy Sarani, Simla. Kolkata 700006","22.584746, 88.366783",Girish Park / Mahatma Gandhi Road,4.7,North,Famous-for-lighting
Shastribagan Durgotsob Committee,"DC 2/13. Shastri Bagan, Joramandir. Baguiati, Kolkata 700059","22.615727, 88.429862",Salt Lake Sector V / Phoolbagan Metro,4.8,South,Community-favorite
Simla Byayam Samity,9B. Singhee Lane. Abhedananda Rd. Simla. Machuabazar. Kolkata 700006,"22.589321, 88.367486",Girish Park,4.5,North,Award-winner
Sodepur Club,"Purbayan, Ashok Sen Nagar, Sodepur, Panihati 700110","22.697718, 88.399411",Baranagar,4.7,Others,Famous-for-lighting
Dakshin Dari Youths,"17 No Playground, Dakshindari Rd, Ward 35, South Dumdum, Kolkata 700048","22.596055, 88.394002",Belgachhia,4.8,East,Community-favorite
Nalin Sarkar Street,"Nalin Sarkar St, Hatibagan, Kolkata 700004","22.595382, 88.373169",Shyambazar / Shobhabazar Sutanuti,4.7,North,Famous-for-lighting
Kidderpore Gopal Doctor Roadjubak Sangha,"Gopal Doctor Rd. Andaman Dock. Kidderpore, Kolkata 700023","22.541312, 88.319969",Majerhat,4.5,South,Award-winner
Hindusthan Park Sarbojanin Durgotsab Committee,"55B opp Basanti Devi College, Golpark, Kolkata 700029","22.517933, 88.362028",Kalighat / Jatin Das Park,4.9,South,Award-winner
Jawpur Bayam Samiti,"282, Jawpur Rd. Sahapara, Dum Dum, South Dumdum 700074","22.618867, 88.402948",Dum Dum,4.9,North,Award-winner
Purbanchal Prabhati Sangha,12/C. Gobinda Khatick Rd. Tangra. Kolkata 700046,"22.557070, 88.383538",Barun Sengupta,4.5,East,Award-winner
Bhowanipore Sarbojanin Durgotsab,"Chandra Nath Chatterjee St. Bhowanipore, Kolkata 700025","22.534987, 88.344282",Netaji Bhavan,4.6,South,Traditional
Pally Mangal Samity,"70, Selimpur Rd, Dhakuria, Selimpur, Garfa, Kolkata 700031","22.504953, 88.374442",Jyotirindra Nandi / Kavi Sukanta / Satyajit Ray,4.8,South,Community-favorite
Grey Street Satadal,5C. Raja Kali Krishna Ln. Sovabazar. Kolkata 700005,"22.595828, 88.366548",Shyambazar / Shobhabazar Metro,4.7,North,Famous-for-lighting
Forward Club,"27/B, Kalidas Patitundi Ln. Kalighat, Kolkata 700026","22.523055, 88.344000",Jatin Das Park,4.9,South,Award-winner
Santragachi South Howrah Vivekananda Foudation,"SANTRAGACHI SOUTH HOWRAH VIVEKANANDA FOUDATION, Kolkata (FFD Member 2025)","22.585202, 88.283860",Howrah Maidan Metro,4.8,Howrah,Community-favorite
Durgapuja Agrani Beleghata,"3/1, Gagan Sarkar Rd. Kulia. Beleghata, Kolkata 700010","22.561813, 88.396299",Phoolbagan / Salt Lake Stadium / Beleghata,4.9,East,Award-winner
Olabibitola Sarbojanin Durgotsab Samity,"4, Olabibitala Ln, Naora, Shibpur, Howrah 711104","22.575730, 88.314364",Howrah Maidan,4.6,Howrah,Traditional
Kakurgachi Chalantika Club,"S3B, Bagmari Lane, Kankurgachi, Kolkata 700054","22.584558, 88.390367",Bengal Chemical / Phoolbagan,4.7,East,Famous-for-lighting
Bhowanipore 75 Palli,"1/1C, Debendra Ghosh Rd. Bhowanipore. Kolkata 700025","22.533007, 88.345439",Netaji Bhavan,4.5,South,Award-winner
Dilip Smriti Sangha,"60a, Sadananda Rd, Anami Sangha, Kalighat, Kolkata 700026","22.518014, 88.345085",Kalighat,4.5,South,Award-winner
Shyamsquare Sarbojanin Duegapuja O Pradarshani,"Bidhan Sarani Rd, Bidhan Sarani, Shyam Bazar, Kolkata, West Bengal 700003","22.597723, 88.372114",Shyambazar / Shobhabazar Sutanuti,4.7,North,Famous-for-lighting
Manicktala Chaltabagan Loha Patty,"159D, Vivekananda Rd. Manicktala. Kolkata 700009","22.585603, 88.372483",Girish Park / Mahatma Gandhi Road,4.8,East,Community-favorite
Ramgarh Jayasrinagar Association,RAMGARH JAYASRINAGAR ASSOCIATION. Kolkata (FFD Member 2025),"22.475081, 88.372897",Shyambazar / Shobhabazar Metro,4.5,South,Award-winner
Vivekananda Sarbojanin Durgotsab,"141, Vivekananda Rd, Manicktala, Azad Hind Bag, Kolkata, West Bengal 700006","22.585613, 88.371115",Girish Park / Mahatma Gandhi Road,4.9,North,Award-winner
Alipore 78 Pally Sarbojonin Durgotsav Committee,"4/4 Aftab Mosque Ln, Alipore, Kolkata 700027","22.509304, 88.328611",Jatin Das Park / Kalighat,4.5,South,Award-winner
Sree Sangha Puja Committee,"James Long Sarani, Bhairabitala, Indrajit Pally. Behala. Kolkata 700034","22.499429, 88.320766",Behala Bazar,4.6,South,Traditional
Shibpur Sastitala Baroary Samity,"21. Kashinath Chatterjee Ln, Shibtala, Naora, Shibpur. Howrah 711102","22.569583, 88.315004",Howrah Maidan,4.6,Howrah,Traditional
Pallir Yubak Brinda,"Sitaram Ghosh St, College Street, Kolkata 700009","22.576466, 88.367108",Mahatma Gandhi Road / Central,4.8,East,Community-favorite
Ultadanga Sangrami Sarbojanin Durgotsab,"ULTADANGA SANGRAMI SARBOJANIN DURGOTSAB, Kolkata (FFD Member 2025)","22.595241, 88.384277",Salt Lake Sector V / Phoolbagan Metro,4.9,South,Award-winner
Barisha Club,"50. Santosh Roy Rd, Sakher Bazar, Purba Barisha. Kolkata 700008","22.481264, 88.312969",Behala Chowrasta / Sakherbazar,4.7,South,Famous-for-lighting
Salkia Santi Sangha,"368/1, GT Rd, Babudanga, Salkia North, Salkia, Howrah 711106","22.597235, 88.340115",Howrah,4.8,Howrah,Community-favorite
Sammilita Malapara Sarbojanin Durgotsab,"5. Jadulal Mullick Rd. Malapara, Jorabagan. Kolkata. West Bengal 700006","22.587757, 88.355002",Girish Park / Mahatma Gandhi Road,4.6,North,Traditional
Shyama Palli Shyama Sangha,"SHYAMA PALLI SHYAMA SANGHA, Kolkata (FFD Member 2025)","22.574354, 88.362873",Kavi Subhash / Rabindra Sarobar Metro,4.7,South,Famous-for-lighting
Karbagan Sarbojanin Durgotsab Committee,17/1/H Ultadanga Main Rd. Daspara. Ultadanga. Kolkata 700067,"22.594948, 88.383632",Belgachhia / Shyambazar,4.9,North,Award-winner
Milan Chakra,"2a, Garcha 1st Ln, Dover Terrace, Ballygunge, Kolkata 700029","22.523745, 88.362166",Jatin Das Park,4.7,South,Famous-for-lighting
Nabin Pally Sarbojanin Durgotsav (Hatibagan Nabinpally),"9/1 Nalin Sarkar St, 16 Sikdar Bagan St, Hatibagan, Kolkata 700004","22.595315, 88.373522",Shyambazar / Shobhabazar Sutanuti,4.8,North,Community-favorite
Sebak Sangha,"1-5, Lake Temple Rd, Lake Range. Kalighat, Kolkata 700029","22.512129, 88.350752",Rabindra Sarobar / Kalighat,4.9,South,Award-winner
Wellington Nagarik Kalyan Samity,"Biplabi Anukul Chandra Street, Princep St. Chandni Chawk. Bowbazar, Kolkata 700072","22.567477, 88.355387",Chandni Chowk / Esplanade,4.7,Central,Famous-for-lighting
Behala Mukul Sangha,"28. Gabtala Lane. Behala, Kolkata 700060","22.503277, 88.314283",Behala Bazar / Taratala,4.9,South,Award-winner
Ekush Pally Sarbojanin Durgotsab Samiti,"EKUSH PALLY SARBOJANIN DURGOTSAB SAMITI, Kolkata (FFD Member 2025)","22.574354, 88.362873",Kalighat / Jatin Das Park Metro,4.6,South,Traditional
Beleghata Balakbrinda Club,CIT more. Beleghata Main Rd. Phoolbagan. Beleghata. Kolkata 700010,"22.561482, 88.405496",Phoolbagan,4.8,East,Community-favorite
Kasba Rathtala Club,"Banku Bihari Chatterjee Rd, Rattala More, Bosepukur. Kasba. Kolkata 700042","22.514667, 88.380007",Kavi Subhash / Rabindra Sarobar Metro,4.5,South,Award-winner
Chakraberia Sarbojanin Durgotsab,"21-61 Chakraberia Road N. Paddapukur, Bhowanipore, Kolkata 700020","22.531893, 88.348987",Netaji Bhavan,4.7,South,Famous-for-lighting
Chetla Sarbasadharaner Durgotsab,Chetla. Kolkata 700027,"22.515810, 88.333178",Majerhat / Kalighat,4.6,South,Traditional
Howrah Botanica Majherhat Sarbojanin Durgapuja,"HOWRAH BOTANICA MAJHERHAT SARBOJANIN DURGAPUJA, Kolkata (FFD Member 2025)","22.523245, 88.320287",Howrah Maidan Metro,4.6,Howrah,Traditional
Mohan Bagan Barwari,"MOHAN BAGAN BARWARI, Kolkata (FFD Member 2025)","22.598173, 88.373798",Shyambazar,4.5,North,Award-winner
Saraswat Sammilani,"Beni Banerjee Ave, Dhakuria, Tanu Pukur, Kolkata 700031","22.507342, 88.372217",Satyajit Ray,4.5,South,Award-winner
Bantra Nabin Sangha,"5 Joydeb Kundu Ln, Kadamtala, Bantra, Howrah 711101","22.587035, 88.318621",Howrah Maidan,4.8,Howrah,Community-favorite
Haridevpur Adarsha Samity,"24. Ustad Amir Ali Khan Sarani, Haridevpur, Kolkata 700082","22.477428, 88.333636",Netaji,4.9,South,Award-winner
Sontoshpur Sarbojanin Durgotsab,"Aurobindo Rd. Bagan Bari, Santoshpur, Kolkata 700075","22.494764, 88.378082",Satyajit Ray,4.9,South,Award-winner
Beliaghata 33 No Palli Bashi Brinda,"P-225/1, CIT Rd, Phoolbagan, Beleghata, Kolkata 700010","22.568569, 88.391128",Salt Lake Sector V / Phoolbagan Metro,4.7,South,Famous-for-lighting
Bosepukur Talbagan,"1/27, Bose Pukur Rd. Tal Bagan, Bosepukur. Kasba, Kolkata 700042","22.519201, 88.384890",Kavi Subhash / Rabindra Sarobar Metro,4.8,South,Community-favorite
Behala Mitra Sangha,"93. Roy Bahadur Rd. Behala, Kolkata 700034","22.500504, 88.322919",Behala Bazar,4.7,South,Famous-for-lighting
Lake Town Adhibashi Brinda,Children's Park. Lake Town Rd. Block A. South Dumdum 700089,"22.605138, 88.403608",Belgachhia / Central Park / City Center,4.8,East,Community-favorite
Putiary Sarbojonin Durgotsab Committee,"PUTIARY SARBOJONIN DURGOTSAB COMMITTEE, Kolkata (FFD Member 2025)","22.482352, 88.184112",Kalighat/Jatin Das Park Metro,4.7,South,Famous-for-lighting
Sanghamitra,"40/5, Suhasini Ganguly Sarani, Patuapara, Bhowanipore, Kolkata 700025","22.531554, 88.345283",Netaji Bhavan,4.7,South,Famous-for-lighting
Tentulberia Shibtalapark Sarbojanin Durgotsab,"TENTULBERIA SHIBTALAPARK SARBOJANIN DURGOTSAB, Kolkata (FFD Member 2025)","22.465622, 88.403726",Kavi Subhash / Rabindra Sarobar Metro,4.7,South,Famous-for-lighting
Kidderpore Pally Saradiya,"16A, Hem Chandra St. Kidderpore, Kolkata 700023","22.543253, 88.321504",Rabindra Sadan / Majerhat / Netaji Bhavan,4.7,South,Famous-for-lighting
Kasba R. K. Chatterjee Road Adhibasi Brinda,"Bosepukur, Kasba, Kolkata 700042","22.517929, 88.383412",VIP Bazar,4.7,South,Famous-for-lighting
Pratapaditya Road Tricone Park Barowari,"88 Ward, Pratapaditya Rd, Sahanagar, Kalighat, Kolkata 700026","22.513245, 88.344609",Kalighat,4.7,South,Famous-for-lighting
25 Pally Club,Kidderpore. Kolkata 700023,"22.537192, 88.323057",Netaji Bhavan / Rabindra Sadan / Majerhat,4.6,South,Traditional
Rammohan Sammilani,"4. Rammohan Roy Rd, Yogi Para, Garpar, Machuabazar, Kolkata, West Bengal 700009","22.581637, 88.375185",Girish Park / Mahatma Gandhi Road,4.6,East,Traditional
Sarkar Bagan Sammilita Sangha Durga Puja,3/2. Nilmoni Mitra Row. Tala. Kolkata 700002,"22.606026, 88.378532",Shyambazar / Belgachhia,4.9,North,Award-winner
Naba Jagrata Sangha,"90A/1B. Suren Sarkar Rd. Phoolbagan, Beleghata, Kolkata 700010","22.569338, 88.395130",Salt Lake Sector V/Phoolbagan Metro,4.8,South,Community-favorite
Durbar Mahila Samanyay Committee,12/5. Nilmoni Mitra St. Beniatola Kolkata 700006,"22.591808, 88.363649",Shyambazar / Shobhabazar Metro,4.9,South,Award-winner
Lake Gardens Peoples Association,"Lake Gardens, Kolkata 700045","22.505744, 88.356716",Rabindra Sarobar,4.9,South,Award-winner
Sarbojanin Durgoutsav Committee,"Gouranga Rd, Ajoy Nagar, Mukundapur, Kolkata 700099","22.488641, 88.396333",Satyajit Ray / Jyotirindra Nandi,4.8,South,Community-favorite
Rajdanga Amra Kajan Kalyan Samiti,"67 Rajdanga Chakraborty Para, East Kolkata Twp Kolkata 700107","22.516418, 88.391096",Hemanta Mukhopadhyay / VIP Bazar,4.5,South,Award-winner
74 Palli Sarbojanin Durgotsab Kidderpore,"Mansatala Row, Kidderpore. Kolkata 700023","22.538509, 88.325956",Majerhat / Netaji Bhavan / Rabindra Sadan,4.6,South,Traditional
Ballygunge Sporting Association,"33/1, Circular Rd, Ballygunge, Kolkata 700019","22.528838, 88.356218",Jatin Das Park / Netaji Bhavan,4.8,South,Community-favorite
Kashi Bose Lane Durga Puja Samity,"5/1 Kashi Bose Ln. Darjipara, Kolkata 700006","22.590881, 88.368913",Shobhabazar Sutanuti / Girish Park,4.5,North,Award-winner
Dakshin Pally Sarbojanin Durgotsav Committtee,P55. Jadu Colony. Sarada Pally. Kolkata 700034,"22.491175, 88.316034",Shyambazar / Shobhabazar Metro,4.6,South,Traditional
Dakshin Rabindrapally Sarbojanin Durgapuja Committee,"Rabindrapally, Baghajatin Colony, Kolkata 700086","22.478461, 88.384018",Salt Lake Sector V / Phoolbagan Metro,4.7,South,Famous-for-lighting
Maniktala Anchalik Samity,"MANIKTALA ANCHALIK SAMITY, Kolkata (FFD Member 2025)","22.586374, 88.376133",Shyambazar / Shobhabazar Metro,4.6,North,Traditional
Nager Bazar Jessore Road Adhibasi Brinda,BLD Bagan. Nagerbazar. North Dumdum. Kolkata 700028,"22.622883, 88.415243",Dum Dum Cantonment,4.8,North,Community-favorite
Kidderpore Bijoyee Sangha,"22. Joy Krishna Paul Rd, Andaman Dock, Kidderpore, Kolkata 700023","22.543894, 88.319689",Rabindra Sadan / Majerhat / Netaji Bhavan,4.9,South,Award-winner
Ballygunge Cultural Association,"20 Lake View Rd, Lake Terrace, Kolkata 700029","22.516209, 88.355807",Kalighat,4.8,South,Community-favorite
Simulia Sarvajanin Durgotsav Samity (vivekananda Road),"141, Vivekananda Rd, Manicktala, Kolkata 700006","22.585613, 88.371115",Girish Park,4.6,North,Traditional
Nabarag- Kidderpore,"30A, Kidderpore, Kolkata 700023","22.541731, 88.321337",Majerhat / Rabindra Sadan / Netaji Bhavan,4.6,South,Traditional
Tagore Park Sporting Club,"559, Tagore Park Rd, Tagore Park, Kasba, Kolkata 700039","22.521937, 88.395719",VIP Bazar,4.5,East,Award-winner
Ajoynagar Sarbojanin Durgotsab Society,"AJOYNAGAR SARBOJANIN DURGOTSAB SOCIETY, Kolkata (FFD Member 2025)","22.488970, 88.396317",Satyajit Ray / Jyotirindra Nandi,4.8,South,Community-favorite
Baghajatin B & Cblock Durgotsav Committee,"Baghajatin C Block, Chittaranjan Colony, Kolkata 700092","22.484525, 88.375981",Satyajit Ray / Gitanjali,4.6,South,Traditional
Loona 7 Star,"LOONA 7 STAR, Kolkata (FFD Member 2025)","22.505416, 88.306507",Tollygunge/Behala Chowrasta Metro,4.9,South,Award-winner
Dum Dum Park Bharat Chakra,"Tank No. 2. Dum Dum Park, South Dumdum 700055","22.610318, 88.415470",Central Park / Dum Dum,4.6,East,Traditional
Satattar Palli Sarbojanin Durgotsab Committee,SATATTAR PALLI SARBOJANIN DURGOTSAB COMMITTEE. Kolkata (FFD Member 2025),"22.596982, 88.411832",Kalighat/Jatin Das Park Metro,4.9,South,Award-winner
Purba Barisha Sitalatala Kishore Sangha,"PURBA BARISHA SITALATALA KISHORE SANGHA, Kolkata (FFD Member 2025)","22.480932, 88.321566",Gitanjali,4.7,South,Famous-for-lighting
Darjeepara Sarbojonin Durgotsab Samity,"Chidam Mudi Ramananda Ln, Sovabazar, Kolkata 700006","22.592699, 88.368144",Shobhabazar Sutanuti,4.5,North,Award-winner
Barisha Youth Club,"19. S Behala Rd, Subodh Pally. Paschim Barisha, Kolkata 700061","22.480854, 88.304388",Sakherbazar,4.6,South,Traditional
Alipore Sarbojanin Durgotsab Committee,"16. Alipore Rd, near Lal Batti. Chetla. Kolkata, West Bengal 700027","22.519168, 88.333396",Majerhat,4.9,South,Award-winner
Tarun Dall Puja Committee,"Jagadish Para, Silpara, Purba Barisha, Kolkata 700063","22.472880, 88.311478",Kalighat/Jatin Das Park Metro,4.6,South,Traditional
Netajigarh Nagarik Brinda,"263, Benaras Rd, near Netaji garh, Kunjapara, Netajigarh, Dasnagar, Howrah 711108","22.606465, 88.316684",Howrah Maidan,4.5,Howrah,Award-winner
Seventy Six Pally Sarbojanin Durgotsab,"SEVENTY SIX PALLY SARBOJANIN DURGOTSAB, Kolkata (FFD Member 2025)","22.574354, 88.362873",Kalighat/Jatin Das Park Metro,4.7,South,Famous-for-lighting
Beleghata Sandhani,"P-68, CIT Rd., Phoolbagan, Beleghata, Kolkata 700010","22.564897, 88.396062",Phoolbagan / Salt Lake Stadium,4.8,East,Community-favorite
